Date,Adj_Close,Close,High,Low,Open,Volume
1997-01-24,54.5855,76.75,77.9062,76.75,77.875,2176000
1997-01-27,54.4299,76.5312,77.2343,76.375,76.875,2108500
1997-01-28,54.5855,76.75,77.8437,76.0,77.625,4376000
1997-01-29,55.1189,77.5,77.5,76.5937,76.875,1122700
1997-01-30,55.8301,78.5,78.5312,77.4062,77.875,2126300
1997-01-31,55.7634,78.4062,79.4062,78.375,78.9375,3208100
1997-02-03,55.9301,78.6406,78.8906,78.3593,78.7187,755000
1997-02-04,56.2746,79.125,79.2031,78.4375,78.75,654100
1997-02-05,55.2189,77.6406,79.4687,77.125,79.2343,2255400
1997-02-06,55.5856,78.1562,78.2031,77.4062,77.7812,2483100
1997-02-07,56.3413,79.2187,79.25,77.7812,78.8125,2321000
1997-02-10,55.8079,78.4687,79.5312,78.4218,79.25,1670000
1997-02-11,56.4524,79.375,79.375,78.125,78.7812,1664300
1997-02-12,57.2525,80.5,80.6406,79.2656,79.375,2675400
1997-02-13,57.8749,81.375,81.5625,80.6875,80.8125,1104800
1997-02-14,57.7415,81.1875,81.4687,80.9062,81.1875,1112900
1997-02-18,58.2305,81.875,81.9375,80.75,81.3437,833100
1997-02-19,57.8415,81.3281,82.0,81.1562,81.6562,648100
1997-02-20,57.1414,80.3437,81.3593,80.1562,81.0312,1193900
1997-02-21,57.1636,80.375,80.7656,80.1406,80.4062,1844400
1997-02-24,57.8415,81.3281,81.375,79.9687,79.9687,787300
1997-02-25,57.886,81.3906,81.5312,80.875,81.4062,1653900
1997-02-26,57.3192,80.5937,81.4375,79.625,81.3125,1597800
1997-02-27,56.4635,79.3906,80.8125,79.375,80.8125,1813100
1997-02-28,56.2968,79.1562,79.875,79.0625,79.25,2961200
1997-03-03,56.6747,79.6875,79.75,78.6875,78.75,1210400
1997-03-04,56.3635,79.25,80.125,79.0937,79.9062,1478700
1997-03-05,57.3192,80.5937,80.5937,79.4531,79.7187,1254800
1997-03-06,56.9858,80.125,80.9062,79.875,80.625,1528500
1997-03-07,57.497,80.8437,81.1562,80.25,80.4375,1859300
1997-03-10,58.0971,81.6875,81.6875,80.5468,80.9375,1074900
1997-03-11,57.786,81.25,81.7968,81.25,81.75,624600
1997-03-12,57.2747,80.5312,81.3437,80.2968,81.3125,1055600
1997-03-13,56.3857,79.2812,80.4687,79.0625,80.25,2514100
1997-03-14,56.6747,79.6875,80.0312,79.25,79.6406,1642700
1997-03-17,56.8302,79.9062,80.0312,78.4375,79.25,3013500
1997-03-18,56.219,79.0468,80.1093,78.7187,80.0,1352500
1997-03-19,56.0301,78.7812,79.5,78.0625,78.8437,1510000
1997-03-20,55.7412,78.375,79.0,77.875,78.75,1808200
1997-03-21,55.9993,78.4375,78.75,78.3437,78.6875,2810600
1997-03-24,56.7801,79.5312,79.5781,78.0937,78.5,2145600
1997-03-25,56.2224,78.75,79.9687,78.5312,79.3437,2125800
1997-03-26,56.4678,79.0937,79.6562,78.6875,79.0625,1335300
1997-03-27,54.973,77.0,79.375,76.1562,79.375,2898500
1997-03-31,53.8129,75.375,77.125,75.25,76.9062,4270700
1997-04-01,54.1586,75.8593,76.1875,75.0468,75.25,3210900
1997-04-02,53.1882,74.5,75.9375,74.4375,75.625,2672700
1997-04-03,53.4782,74.9062,75.125,74.1875,74.4375,2284200
1997-04-04,54.1475,75.8437,75.8593,74.1562,74.5,3706700
1997-04-07,54.3595,76.1406,76.625,76.1406,76.1875,2596200
1997-04-08,54.7499,76.6875,76.7812,75.8437,76.125,1822700
1997-04-09,54.3037,76.0625,77.0468,75.8437,77.0,2453200
1997-04-10,54.1029,75.7812,76.5468,75.6875,76.0937,1996500
1997-04-11,52.385,73.375,75.3125,73.375,75.0625,4221600
1997-04-14,53.0877,74.3593,74.4531,73.3125,73.7343,3988500
1997-04-15,53.9914,75.625,75.6406,74.5,75.25,2760400
1997-04-16,54.6161,76.5,76.6093,75.25,75.375,2273300
1997-04-17,54.393,76.1875,77.0,76.0,76.5,1386000
1997-04-18,54.6607,76.5625,76.9843,76.25,76.8125,1702100
1997-04-21,54.3037,76.0625,76.9062,75.4687,76.75,2809400
1997-04-22,55.4973,77.7343,77.7343,76.0,76.1093,3215000
1997-04-23,55.5531,77.8125,78.0312,77.1875,77.6562,2047700
1997-04-24,55.2742,77.4218,78.2812,76.875,78.0468,2689900
1997-04-25,54.6383,76.5312,77.2031,76.4218,77.0625,1606200
1997-04-28,55.1738,77.2812,77.8125,76.375,76.5,1666500
1997-04-29,56.914,79.7187,79.7812,78.2968,78.5937,3197400
1997-04-30,57.1817,80.0937,80.6875,79.2187,79.25,3372200
1997-05-01,57.1148,80.0,80.5312,79.3125,80.2187,2149500
1997-05-02,58.1411,81.4375,81.6718,80.0625,80.2812,1448300
1997-05-05,59.5244,83.375,83.5625,81.2968,81.6562,3636200
